id,Sentence,Sentiment
92,the policy was also aimed at making the companies more profitable and competitive,positive
93,pretax profit rose to eur 178 mn from eur 149 mn in 2005,positive
94,micron technology inc nasdaq mu down 23 today and down 89 since being put on the short httpstcoeqqltfuiou,negative
95,3rd red day in a row tsla,negative
96,sanoma is a buyer not a target he said,neutral
97,adobe receives new rating from top analyst adbe httpstcoljnxpevhzn,positive
98,the group s cash flow from operations will be positive,positive
99,net sales dropped by 6 yearonyear to eur 119 million,negative
100,buffetts company reports 37 percent drop in 2q earnings,negative
101,1 pm central office of nordea bank 19 3ya ulitsa yamskogo polya building 1 telephone 495 7773477 ext 3932 3931 03022011 unimilk egm 0304 022011 xvi international businesssummit food business russia 2011 will take place,neutral
102,spy bumping its head on declining daily 8ma as overhead resistance then the big brother 50ma just above that,negative
103,operating profit for the ninemonth period increased from eur13 6 m while net sales increased from eur394 7 m as compared to the corresponding period in 2005,positive
104,a total six of the polled analysts rated mreal two gave buy accumulate three gave hold and only one gave sell,neutral
105,earnings per share eps in the first half of 2007 amounted to eur0 29 down from eur0 40 year ago,negative
106,its main business area the glass machinery group of glaston technologies is the global market leader in glass processing machines,positive
107,at 133 pm the omx helsinki 25 was 030 pct lower at 246367 and the omx helsinki was down 037 pct at 853742 on volume of 256 mln eur,neutral
108,tiimari s registered share capital is 16474755 shares as per today,neutral
109,operating cash flow after investments totalled eur 613 mn compared to eur 753 mn in the corresponding period in 2007,negative
110,stores 16 march 2010 finnish stationery and gift retailer tiimari hel tii1v said yesterday that it will cut a total of 28 jobs in its units tiimari retail ltd and gallerix finland ltd as a result of the closure of shops,negative
111,the estonian electronic components factory elcoteq is running out of material because of the closure of air traffic,negative
112,during the strike finnair estimates to incur a net loss of between eur2m and eur2 5 m per day,negative
113,fb still a dog going much lower this week,negative
114,hsbc says unit to book 585 million charge on settlement,negative
115,the veneer and plywood industry in sweden is quite small despite the raw material resources,neutral
116,thanks to the internet consumers compare products more than previously and finnish companies are not competitive,negative
117,windows 10 is awful why did it force an upgrade on my pc without my consent windows microsoft msft,negative
118,in the fourth quarter of 2008 net sales increased by 2 to eur 10507 mn from eur 10270 mn in the fourth quarter of 2007,positive
119,the total number of voting rights is 74612523,neutral
120,in september 2010 the finnish group agreed to buy danish company rose poultry as for up to eur23 9 m in a combination of cash and stock,positive
121,in the next few years the ict sector s share of electricity consumption will be raised by the increase in the popularity of smartphones,neutral
122,investors remain skeptical about shellbg deal,negative
123,after the transaction tikkurila has no powder coatings related operations,neutral
124,incap contract manufacturing services pvt ltd a subsidiary of incap corporation of finland plans to double its revenues by 20072008,positive
125,nuan held up well after the big gains maybe were finally on the move on thisits still very undervalued and has major upside,positive
126,why not subscribe to the magazine,neutral
127,news corp s myspacecom web site will display submissions for the expanded broadband emmy awards as part of an effort to identify aspiring video artists,neutral
128,adanac molybdenum of canada has ordered grinding technology for its molybdenum project in british columbia canada while shalkiya zinc of kazakhstan has awarded a contract for grinding technology for the shalkiya zinclead project in kazakhstan,positive
129,the previous offer was 34 of voting rights and 123 of capital,neutral
130,aapl good time to buy will the run come before earnings or after,positive
131,finnish bank of land reports operating profit of eur 22 mn in the first quarter of 2010 down from eur 63 mn in the corresponding period in 2009,neutral
132,tsla you have to love these types of articles ss interest rose on 1215 on day before we hit our lows httpstkscoc1qkr,negative
133,finnish developer and manufacturer of mobile phone chargers salcomp plc omx helsinki sal1v on wednesday 19 november lowered its fullyear net sales estimate,negative
134,intc finally some nice downside move looking for the 31 handle to break,negative
135,upmkymmene is one of the world s leading printing paper producers with production in 15 countries and a sales network covering more than 170 companies,positive
136,nokia shares hit 1321 euros on friday down 50 percent from the start of the year in part because of the slow introduction of touchscreen models,negative
137,pretax loss totalled eur 499 mn compared to a loss of eur 154 mn in the corresponding period in 2008,negative
138,following the move stora enso holding in newpage will remain unchanged,neutral
139,net sales by the sataflexo group came to some eur4 3 m in 2007 and the group companies employed a total of 40 people,neutral
140,yit lodged counter claims against neste oil totaling some eur25m primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project,neutral
141,p bull flag on the daily earnings on the table tomorrow 12 movewill straddle this one into earningslots of vol guaranteed here,positive
142,in total more than 3000 surveillance cameras will be handled and managed according to a variety of needs the company said,neutral
143,the electricity requirement of networks will grow with the new mobile generation,neutral
144,aapl near a 3 drop thats a lot now the best i can do is hold er lol,negative
145,buyback not trending right cpix spending more as shares pricier hopefully will pull back w 687 q2 closing vwap,negative
146,juhani jrvi corporate executive vice president of kesko says the russian food retail sector is fragmented,neutral
147,employees are also better prepared to answer calls since they already have detailed information about the caller before they answer the phone,positive
148,a purchase agreement for 7200 tons of gasoline with delivery at the hamina terminal finland was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month,positive
149,shell challenges exxon dominance with 47 billionpound bid for bg,negative
150,however the bottomline result improved thanks to positive financial items,positive
151,e s building system service had revenue of eur 355 mln in 2007,neutral
152,etteplan targets to employ at least 20 people in borlnge,positive
153,aapl weekly still under the 50 moving average and creating a lower high httpstcovt7ppzy2uy,negative
154,amcn pushing highs,positive
155,according to ceo kai telanne the company s newspapers achieved the best financial result ever,positive
156,changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the kauhava plant according to the company,negative
157,skf 6 april 2010 alandsbanken has given a buy recommendation on swedish industrial company skf ab sto skf b with a share price target of sek150,positive
158,its 168 asset management experts manage assets worth over eur 35 billion,neutral
159,nyse owner ice may gatecrash deutsche boerselse merger,negative
160,also chile is an important market area for forest machine companies,neutral
161,uks ftse has worst day so far in 2015 as bg and prudential fall,negative
162,finnish property investment company citycon will expand and refurbish kersberga shopping center in stockholm in sweden,neutral
163,nokia messaging 11 enables customers to receive emails from up to 10 email accounts on their mobile phone supporting all pop or imap email services,neutral
164,elisa said mobile subscriptions grew 7 percent during 2007 mainly because of customers adopting socalled third generation mobile technology,positive
165,companiesunilever sales lifted by ice cream in soft economy,positive
166,mr kivimeister said john deer former timberjack stands to win in the situation it controls around 60 of estonia s forest machinery market,positive
167,adp news jan 22 2009 finnish mobile phones maker nokia oyj omx nok1v said today its operating profit decreased to eur 5 billion usd 65 bn for 2008 from eur 8 billion for 2007,negative
168,they are also upset that some of the machinery and work is taken over to poland,negative
169,european shares plunge roiled by bhp and oil hopes turn to ecb,negative
170,vaisala also said it expects net sales of eur 2532 million for 2010 compared with eur 2522 million recorded in 2009,positive
171,fiskars brands report net sales of eur 1458 mn up from eur 1384 mn,positive
172,nokia and elisa will work together to bring a superior mobile gaming experience for elisa customers,positive
173,it generated an operating loss of eur 963 mn down from a profit of eur 439 mn,negative
174,today we are connecting people in new and different ways fusing advanced mobile technology with personalized services to enable people to stay close to what matters to them,neutral
175,financialwire tm is not a press release service and receives no compensation for its news opinions or distributions,neutral
176,some of the layoffs will be implemented using parttime employment contracts,neutral
177,london marketwatch share prices ended lower in london monday as a rebound in bank stocks failed to offset broader weakness for the ftse 100,negative
178,the layoff talks were first announced in august,neutral
179,however this increases signaling traffic which wastes network resources and allows fewer smartphones to connect,neutral
180,berkshire discloses units ties to iran opens probe,negative
181,ab inbev to sell sabmiller stake in chinas snow beer,neutral
182,at this growth rate paying off the national debt will be extremely painful,negative
183,an eu law on the issue may be introduced around 2010,neutral
184,ssh communications security corp stock exchange release october 14 2008 at 245 pm the company updates its full year outlook and estimates its results to remain at loss for the full year,negative
185,the payment of 2779 million litas in interest on a longterm loan provided by ragutis majority shareholder estonia s a le coq also added to the losses,negative
186,the sellers were the founders of the company,neutral
187,acquisitions have been made and businesses have been well integrated,positive
188,this acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services,positive
189,in the baltic states the company reports net sales of eur 119 mn down from eur 142 mn and an operative ebit of eur 22 mn down from eur 17 mn,neutral
190,ocwen reaches settlement with california regulator,positive
191,pretax profit totaled eur 49 mn compared to eur 52 mn in the first quarter of 2005,negative
192,the parties have agreed not to disclose the price of the deal the group said in a press release,neutral
193,companieskingfisher bid for mr bricolage runs into trouble,negative
194,poyry s net sales in 2007 amounted to about eur 720 million and it employs 7400 experts,neutral
195,according to soosalu particular attention was paid to residents privacy and security in the design of the aleksandri street building,neutral
196,at 1411 cet arcelormittal had lost 726 to eur 1738 on euronext paris coming at the lead of the bluechip fallers,negative
197,according to finnish fim bank alpro s price would be around eur 100mn150mn,neutral
198,the maximum amount of the capital loan will be eur30m and the minimum subscription eur10 000,neutral
199,metso estimates the need for personnel reductions to amount to 25 people,negative
200,smh got a sell signal on 64 and needs to take out 3928 to go higher otherwise headed lower than 3760 gap below at 3538,negative
201,paper companies were in negative territories with stora enso r shedding 162 pct to 1273 eur upmkymmene down 080 pct at 1864 eur and mreal b 018 pct lower at 557 eur,negative
202,upm said the move will lower net profit by x20ac 385 million us 520 million in the second quarter mainly due to impairment charges,negative
203,the investment would be some eur5m,neutral
204,the periodend cash and cash equivalents totaled eur6 5 m compared to eur10 5 m in the previous year,negative
205,ctrp just broke resistance watching for a redtogreen breakout right out of the gate tomorrow morning stocks httpstco8vxfuuit04,positive
206,kcg bot at 224,positive
207,the group with net sales of eur 235 million in 2009 employs more than 2 000 people in 33 countries,neutral
208,finnish sports equipment company amer sports said it has decided to lay off 370 workers from its salomon division in france,negative
209,rt robbielolz nflx a close above here is looking good for the bulls will hold my positions to see where we close at keep buying here,positive
210,adp news sep 30 2008 finnish security and privacy software solutions developer stonesoft oyj said today that it won a usd 19 million eur 13 m order to deliver its stonegate network security products to an unnamed russian te,positive
211,short interest increases yet again httpstkscoe19h via ryandetrick spy,negative
212,slowly adding some fio here but gotta be careful this will be one of biggest winners in 2012,positive
213,the concept enables a commercially affordable way to manufacture highquality tco coated glass for the solar industry,positive
214,its a bad idea to make 5 min predictions based on faith rt dandyduct aapl sell signal hit at 584 it will go down for the next 5 min,negative
215,rt joemccann the correleation between the dollar index and spy is simply amazing dx finds support spy retreats like clockwork,negative
216,while the company did not indicate the level of investment in the unit it said that has purchased the equipment of nokia corporation s mobile phone rd laboratory in jyvaeskylae,neutral
217,more than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries,neutral
218,11 august 2010 finnish measuring equipment maker vaisala oyj hel vaias said today that its net loss widened to eur4 8 m in the first half of 2010 from eur2 3 m in the corresponding period a year earlier,negative
219,tornio works employs 2300 of whom more than 1800 have been in the scope of the fixedperiod or parttime temporary layoffs in apriloctober period,negative
220,looking for a strong bounce spy lunchtime rally coming dia iwm qqq aa fb,positive
221,pharmaceuticals group orion corp reported a fall in its thirdquarter earnings that were hit by larger expenditures on rd and marketing,negative
222,agn and pypl under pressure along with the market however there were bullish options trades in both this morning httpstco9xg5w8nont,neutral
223,the firm s uk head office is in rugby road lutterworth,neutral
224,googl is a short below 740 into the upper bb and is overbought,negative
225,russ dont catch falling knives but i think an entry is coming soon on this,positive
226,operating loss totaled eur 03 mn compared to a profit of eur 22 mn in the corresponding period in 2007,negative
227,the appointments will be in force until the new ceo has been appointed,neutral
228,satama earned data management solutions competency with business intelligence specialization recentlyvia the acquisition of fimentor oy,positive
229,under a preliminary estimation the technology park will measure about 50000 square meters,neutral
230,23 april 2010 finnish construction and engineering company outotec oyj hel ote1v said today it slipped to a net loss of eur7 3 m in the first quarter of 2010 from a net profit of eur12 5 m in the corresponding period last year,negative
231,asdfllc nice pop today told ya we would be green haha funny you bring that up im actually working on a story about nok at the moment,positive
232,net sales in 2006 totaled eur 302 million and the operating margin was 16,neutral
233,the solution is demonstrated on a tablet developed by aava mobile as a multiwindow system which enables the use of several applications simultaneously for example the viewing of messages and calendar side by side,neutral
234,exel wants to serve its industrial customers with individual products,neutral
235,the new technology improves the glass quality and consistency while increasing throughput,positive
236,awr standard poors affirms a credit rating at american states water company and golden state water company httpstkscof2p94,positive
237,the metal has gained 41 percent this year as demand from china the world s largest user increased,positive
238,net sales increased to eur655m in april to june 2010 from eur438m a year earlier,positive
239,ssh communications security corporation is headquartered in helsinki finland,neutral
240,amrn you can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing currently it is the shorts rejoicing,negative
241,according to the company in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008,negative
242,the acquisition of boomeranger boats oy is in line with the done solutions strategy of developing its business through company acquisitions,positive
243,unit costs for flight operations fell by 64 percent,positive
244,a january 11 2010 ephc board of directors has approved an increase in the quarterly dividend from 003 to 005 per share,positive
245,danish company flsmidth has acknowledged that it has violated a patent held by finnish metso,negative
246,consolidated pretax profit decreased by 692 to eur 410 mn from eur 1331 mn in 2007,negative
247,dlerch lol fmcn back under 17 darn those shorts no chit sherlock,negative
248,it will use the proceeds from the transaction to achieve its target,neutral
249,the method utilises waterborne ultra products giving protection to wooden surfaces in an industrial painting process whereby two layers of top coat are applied on exterior wooden panels and boards without a separate primer,neutral
250,spains caixabank expects to close deal for banco bpi,positive
251,you know that back seat dont sit in it tsla tesla recalls 2700 model x cars httpstco7j0gwz89zc,negative
252,the majority of the company s personnel in finland is temporarily laid off from one to six weeks in the period from february to june 2009 period,negative
253,upmkymmene corp the world s largest maker of magazine paper on tuesday reported a 19percent profit drop as lower paper prices higher costs and a strong euro hurt revenue,negative
254,ruukki group calculates that it has lost eur 4mn in the failed project,negative
255,operating profit before nonrecurring items was eur 83 mn in the first nine months of 2008 compared to eur 84 in the corresponding period in 2007,negative
256,the extraordinary general meeting is expected to take place no later than 18 february 2011,neutral
257,finnish kemira group s ceo lasse kurkilahti says the group s structural reorganisation will continue for at least a year,neutral
258,london open taylor wimpey and ashtead drive markets higher barclays falls,positive
259,profit per share was eur 103 up from eur 087,positive
260,intercontinental hotels firstquarter global room revenue lags estimates,negative
261,easyjet dismisses lufthansa lowcost plan in contest for germany,negative
262,verizon and att accused of hurting rivals,negative
263,uk s sarantel to outsource part of its processes to elcoteq plant in estonia london oct 13 bns the british miniature antennas maker sarantel has signed an agreement to outsource its assembly test and supply chain processes to the plant of elcoteq in the estonian capital tallinn,neutral
264,the company also said that the deployment of the danish 4g network continues and it expects to cover 75 of the danish population in 2011,neutral
265,while concerns remain longer term size and scale may enable nokia to hold on to its newfound margin improvements in the near term the analyst wrote,positive
266,according to acnielsen s scantrack study for the period week 10 of 2005 to week 9 of 2006 cocacola is the market leader in soft drinks in finland,positive
267,brazilian nonprofit interbank camara interbancaria de pagamentos cip has acquired solutions from us business integration solutions provider sterling commerce the latter company said in a statement,positive
268,okmetic revised its 2010 financial outlook based on its order book,neutral
269,kingfisher share price slides on cost to implement new strategy,negative
270,the ecommerce site and flagship will be managed by marimekko north america retail llc a subsidiary established in the us last year,neutral
271,aapl httpstksco1ldx clearing this descending trend line buy area now,positive
272,operating profit for 2009 lower than outlook published earlier,negative
273,budapest august 10 mti finnish electronics maker elcoteq will lay off 700 workers at its plants in pecs s hungary at the end of september because of falling orders communications director for elcoteq s local unit zoltan krippl told mti on monday,negative
274,nviro operates processing facilities independently as well as in partnership with municipalities,neutral
275,the repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the convertible bonds,neutral
276,hard to find new buyers of tsla at 250 shorts continue to pile in,negative
277,finnish forest machinery manufacturer ponsse s net sales grew to eur 513 mn in the first quarter of 2010 from eur 375 mn in the corresponding period in 2009,positive
278,11 august 2010 finnish measuring equipment maker vaisala oyj hel vaias said today that its net loss widened to eur4 8 m in the first half of 2010 from eur2 3 m in the corresponding period a year earlier,neutral
279,our approach is very much to only use raw materials that are produced in line with the principles of sustainable development,neutral
280,operating profit totaled eur 38 mn down from eur 45 mn in the corresponding period in 2005,neutral
281,barclays plc lse barc nyse bcs credit agricole sa epa aca cagr,neutral
282,at the close the omx helsinki 25 was 001 pct lower at 306764 points and the omx helsinki was down 005 pct at 1032146 points on over 1343 bln eur of turnover,negative
283,the order comprises all production lines for a plywood mill company said in a statement received by lesprom network,neutral
284,in the sinter plant limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for ironmaking,neutral
285,the platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen and means are provided to exert and maintain a pressure in the volume defined by the platen the band and the seal,neutral
286,earnings per share eps rose to eur 011 from eur 003,positive
287,update 3bp settles oil spillrelated claims with halliburton transocean,negative
288,in the building and home improvement trade net sales totalled eur 1173 mn down from eur 1566 mn a year earlier,neutral
289,daily mail owner considering yahoo bid yhoo up 205 httpstcoextzr1riyp,positive
290,finnish financial group aktia s operating profit for 2009 increased to eur 470 mn from eur 66 mn in 2008,positive
291,the soapstone deposits in the medvezhyegorsk area are expected to increase tulikivi s current reserves considerably,positive
292,both the net sales and operating profit were record high in the company s history,positive
293,in today s business you have to preempt what consumers want said mohammed zainalabedin general manager zain bahrain,neutral
294,finlandbased stockmann group has closed seven franchising sports stores nike in russia,negative
295,metsaliitto said that it will book a minor gain of less than eur1 0 m from the transaction,positive
296,over the years the color orange has become synonymous with quality,neutral
297,in 2009 comptel slipped to a net loss of eur2 1 m from a profit of eur6 6 m in the previous year,negative
298,finnish outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the ozk kardzhali zinc smelter in bulgaria,positive
299,capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy,negative
300,ssh communications security corporation is headquartered in helsinki finland,neutral
301,subscribers of china unicom the nation s second largest mobile phone operator after china mobile are expected to release pictures videos and blog on the internet via mobile phones as of march 2008,neutral
302,it also said its third quarter diluted eps came in at 034 eur compared with 016 eur in the same quarter a year ago,positive
303,aapl aug 645 calls 550 67c httpstkscoi9t3,positive
304,poyry has a good track record of major transportation projects in latin america,positive
305,breaking 52 week highs timing looks great now ahs baby post ige irdm ewbc phys ulta vnet biv httpstco11k8jzuzmu,positive
306,still short lng from 1170 areanext stop could be down through 900 someone slammed it hard with 230000 shs this am more to follow,negative
307,glencore cuts 2015 budget plans to divest from lonmin,negative
308,starbucks digital strategy to drive significant growth with customer loyalty sbux httpstcoxk6lz3ui3k,positive
309,compared with the ftse 100 index which rose 949 points or 16 on the day this was a relative price change of 04,negative
310,the announced restructuring will significantly decrease the company s indebtedness,positive
311,the group s revenue amounts to over eur 80 million about half of which is accounted for by exports,neutral
312,the company is in charge of all natural gas storage activities in france great britain and germany,neutral
313,adpnews dec 1 2009 finnish cutlery and hand tools maker fiskars oyj abp hel fisas said today that it will make redundant a total of 18 office and management staff members of its subsidiary iittala group ltd,neutral
314,aldata solution oyj bertrand sciard president and ceo further information aldata solution oyj bertrand sciard president and ceo tel 33 1 46 48 28 00 aldata 100 retailwholesale at aldata 100 of our business is dedicated to retail and wholesale business improvement,neutral
315,commission income decreased to eur 38 mn compared to eur 46 mn in the third quarter of 2007,negative
316,tesla model x recall adds to reliability issues tsla httpstcojvxq4doxnp,negative
317,efore s ceo reijo maihaniemi said that the company has developed and already delivered power supply units to respective systems based on this technology to chinese sector company zte corp she 000063,neutral
318,last year s net sales rose to eur 683 million from eur 622 million,positive
319,operating profit excluding nonrecurring items amounted to eur 406 mn down from eur 573 mn yearonyear,negative
320,it also has strong assets in electronic media employing 18500 an increase of 9 percent on last year,positive
321,componenta increased its stake in turkish steel company doktas dokumculuk ticaret ve sanayi as to 926 pct stake in march 2007,positive
322,sabmiller revenue hit by weaker em currencies,negative
323,strand associates is expanding its madison corporate headquarters with space to add about 100 employees to the engineering firm,positive
324,germany s innovational centers are united in focusing at companies which aim at use of technologies and development of new kinds of activity through supporting the beginner companies with the entire spectrum of their services,neutral
325,amrn got sell signal 7114 still in force with target below 150,negative
326,finnish food workers union sel plans to hasten its collective bargaining with a twoday strike that would begin on 7 april 2010 in finland,negative
327,kesko pursues a strategy of healthy focused growth concentrating on sales and services to consumercustomers,positive
328,operating profit fell to eur 381 mn from eur 553 mn in 2007,negative
329,in the beginning of the negotiations the estimated number of reductions was 50 at the maximum,neutral
330,novartis buys remaining rights to gsk treatment in deal up to 1 billion,positive
331,the omx nordic 40 omxn40 index comprising the 40 most traded nordic stocks on the nasdaq omx exchange closed up 043 at 113884 points on wednesday,positive
332,aapl right back in buy the dips brought to you by cnbc lol,positive
333,profit before taxes was eur 40 mn down from eur 49 mn,neutral
334,finnish high technology provider vaahto group reports net sales of eur 418 mn in the accounting period september 2007 february 2008 an increase of 112 from a year earlier,positive
335,kior my god market getting crushed today gotta hold if anything g should recover some tomorrow i imagine,negative
336,itv share price jumps on report of comcasts nbcuniversal bidding to takeover,positive
337,the company plans to close two of the three lines at the plant where some 450 jobs are under threat,negative
338,this corrensponds to 4628 percent of okmetic s share capital and voting rights,neutral
339,this is a much better process than using virgin paper as it requires less transportation of wood pulp from places like finland and canada,positive
